518,  COT3CzD,0.606,0.234
519,  COT3PzD,1.004,0.289
520,  COT4T5D,1.590,0.180
521,  COT4T6D,1.187,0.508
522,  COT4FzD,0.756,0.266
523,  COT4CzD,0.938,0.320
524,  COT4PzD,1.266,0.318
525,  COT5T6D,1.272,0.407
526,  COT5FzD,1.451,0.204
527,  COT5CzD,1.378,0.364
528,  COT5PzD,1.592,0.610
529,  COT6FzD,1.338,0.173
530,  COT6CzD,1.463,0.368
531,  COT6PzD,1.469,0.571
532,  COFzCzD,1.325,0.707
533,  COFzPzD,1.848,0.425
534,  COCzPzD,1.826,0.763
535,  COF1F2T,-0.122,0.711
536,  COF1F3T,-0.052,0.525
537,  COF1F4T,-0.303,0.355
538,  COF1C3T,-0.690,0.139
539,  COF1C4T,-0.535,0.107
540,  COF1P3T,-0.212,0.056
541,  COF1P4T,0.049,0.045
542,  COF1O1T,0.425,0.020
543,  COF1O2T,0.130,0.014
544,  COF1F7T,0.036,0.556
545,  COF1F8T,-0.445,0.224
546,  COF1T3T,-0.176,0.079
547,  COF1T4T,0.165,0.044
548,  COF1T5T,0.215,0.019
549,  COF1T6T,0.092,0.016
550,  COF1FzT,-0.794,0.372
551,  COF1CzT,-1.309,0.099
552,  COF1PzT,-0.744,0.037
553,  COF2F3T,-0.007,0.391
554,  COF2F4T,-0.452,0.489
555,  COF2C3T,-0.382,0.114
556,  COF2C4T,-0.490,0.174
557,  COF2P3T,-0.136,0.048
558,  COF2P4T,0.083,0.071
559,  COF2O1T,0.277,0.015
560,  COF2O2T,0.560,0.022
561,  COF2F7T,0.210,0.305
562,  COF2F8T,-0.429,0.484
563,  COF2T3T,-0.481,0.019
564,  COF2T4T,0.062,0.117
565,  COF2T5T,-0.450,0.006
566,  COF2T6T,0.759,0.038
567,  COF2FzT,-0.572,0.419
568,  COF2CzT,-1.192,0.112
569,  COF2PzT,-0.831,0.041
570,  COF3F4T,0.649,0.634
571,  COF3C3T,-0.553,0.533
572,  COF3C4T,0.401,0.392
573,  COF3P3T,0.335,0.304
574,  COF3P4T,0.869,0.241
575,  COF3O1T,1.171,0.126
576,  COF3O2T,1.193,0.100
577,  COF3F7T,0.620,0.650
578,  COF3F8T,0.152,0.209
579,  COF3T3T,-0.239,0.229
580,  COF3T4T,0.598,0.107
581,  COF3T5T,0.840,0.157
582,  COF3T6T,1.431,0.096
583,  COF3FzT,0.057,0.776
584,  COF3CzT,-0.270,0.466
585,  COF3PzT,0.094,0.247
586,  COF4C3T,0.441,0.400
587,  COF4C4T,0.249,0.617
588,  COF4P3T,0.877,0.255
589,  COF4P4T,0.779,0.322
590,  COF4O1T,1.218,0.098
591,  COF4O2T,1.359,0.119
592,  COF4F7T,0.599,0.284
593,  COF4F8T,-0.116,0.501
594,  COF4T3T,0.146,0.069
595,  COF4T4T,0.273,0.283
596,  COF4T5T,1.055,0.084
597,  COF4T6T,1.353,0.182
598,  COF4FzT,1.071,0.874
599,  COF4CzT,0.086,0.503
600,  COF4PzT,0.287,0.261
601,  COC3C4T,1.539,0.621
602,  COC3P3T,1.940,0.828
603,  COC3P4T,2.111,0.611
604,  COC3O1T,1.273,0.385
605,  COC3O2T,1.546,0.299
606,  COC3F7T,-0.303,0.240
607,  COC3F8T,0.265,0.094
608,  COC3T3T,-0.402,0.324
609,  COC3T4T,1.341,0.250
610,  COC3T5T,1.135,0.479
611,  COC3T6T,1.944,0.319
612,  COC3FzT,0.222,0.488
613,  COC3CzT,1.395,0.781
614,  COC3PzT,1.759,0.689
615,  COC4P3T,1.743,0.571
616,  COC4P4T,1.687,0.784
617,  COC4O1T,1.396,0.289
618,  COC4O2T,1.341,0.350
619,  COC4F7T,0.381,0.110
620,  COC4F8T,0.204,0.315
621,  COC4T3T,0.377,0.093
622,  COC4T4T,0.981,0.564
623,  COC4T5T,1.353,0.228
624,  COC4T6T,1.771,0.535
625,  COC4FzT,0.643,0.541
626,  COC4CzT,1.072,0.741
627,  COC4PzT,1.240,0.633
628,  COP3P4T,2.105,0.756
629,  COP3O1T,0.893,0.656
630,  COP3O2T,1.405,0.505
631,  COP3F7T,0.266,0.112
632,  COP3F8T,0.703,0.065
633,  COP3T3T,0.108,0.267
634,  COP3T4T,1.639,0.281
635,  COP3T5T,0.846,0.663
636,  COP3T6T,1.904,0.479
637,  COP3FzT,0.568,0.299
638,  COP3CzT,1.709,0.651
639,  COP3PzT,1.406,0.898
640,  COP4O1T,1.510,0.545
641,  COP4O2T,1.100,0.640
642,  COP4F7T,0.598,0.049
643,  COP4F8T,0.757,0.144
644,  COP4T3T,0.589,0.088
645,  COP4T4T,1.331,0.499
646,  COP4T5T,1.435,0.377
647,  COP4T6T,1.946,0.766
648,  COP4FzT,0.912,0.299
649,  COP4CzT,2.017,0.644
650,  COP4PzT,1.389,0.877
651,  COO1O2T,1.867,0.755
652,  COO1F7T,0.561,0.035
653,  COO1F8T,0.251,0.019
654,  COO1T3T,0.687,0.131
655,  COO1T4T,1.792,0.163
656,  COO1T5T,1.007,0.676
657,  COO1T6T,1.681,0.461
658,  COO1FzT,1.249,0.116
659,  COO1CzT,1.281,0.277
660,  COO1PzT,1.695,0.683
661,  COO2F7T,-0.415,0.012
662,  COO2F8T,0.902,0.043
663,  COO2T3T,0.368,0.038
664,  COO2T4T,1.713,0.250
665,  COO2T5T,1.423,0.385
666,  COO2T6T,1.567,0.694
667,  COO2FzT,1.375,0.110
668,  COO2CzT,1.352,0.262
669,  COO2PzT,1.601,0.631
670,  COF7F8T,0.465,0.122
671,  COF7T3T,-0.208,0.372
672,  COF7T4T,-0.262,0.010
673,  COF7T5T,0.708,0.086
674,  COF7T6T,-2.125,0.001
675,  COF7FzT,0.269,0.358
676,  COF7CzT,-0.027,0.142
677,  COF7PzT,0.056,0.057
678,  COF8T3T,-0.804,0.005
679,  COF8T4T,0.063,0.408
680,  COF8T5T,-0.829,0.006
681,  COF8T6T,1.205,0.115
682,  COF8FzT,0.062,0.322
683,  COF8CzT,-0.404,0.113
684,  COF8PzT,0.389,0.074
685,  COT3T4T,0.183,0.022
686,  COT3T5T,0.696,0.472
687,  COT3T6T,-0.101,0.020
688,  COT3FzT,-0.197,0.111
689,  COT3CzT,-0.003,0.122
690,  COT3PzT,0.266,0.135
691,  COT4T5T,1.371,0.109
692,  COT4T6T,1.404,0.567
693,  COT4FzT,0.580,0.192
694,  COT4CzT,1.050,0.264
695,  COT4PzT,1.474,0.325
696,  COT5T6T,1.541,0.286
697,  COT5FzT,1.057,0.120
698,  COT5CzT,1.237,0.265
699,  COT5PzT,1.567,0.519
700,  COT6FzT,1.531,0.138
701,  COT6CzT,1.737,0.330
702,  COT6PzT,1.939,0.588
703,  COFzCzT,-0.176,0.582
704,  COFzPzT,0.504,0.285
705,  COCzPzT,1.038,0.665
706,  COF1F2A,-0.377,0.763
707,  COF1F3A,0.255,0.752
708,  COF1F4A,0.368,0.654
709,  COF1C3A,0.978,0.512
710,  COF1C4A,1.044,0.444
711,  COF1P3A,1.178,0.239
712,  COF1P4A,1.037,0.177
713,  COF1O1A,-0.992,0.023
714,  COF1O2A,-0.771,0.042
715,  COF1F7A,0.237,0.741
716,  COF1F8A,0.128,0.491
717,  COF1T3A,0.716,0.325
718,  COF1T4A,1.014,0.273
719,  COF1T5A,-0.009,0.058
720,  COF1T6A,-1.120,0.026
721,  COF1FzA,-0.096,0.690
722,  COF1CzA,0.493,0.503
723,  COF1PzA,0.822,0.199
724,  COF2F3A,0.415,0.658
725,  COF2F4A,0.369,0.781
726,  COF2C3A,1.143,0.480
727,  COF2C4A,1.105,0.529
728,  COF2P3A,1.173,0.220
729,  COF2P4A,1.091,0.197
730,  COF2O1A,-0.886,0.030
731,  COF2O2A,-0.521,0.054
732,  COF2F7A,0.136,0.496
733,  COF2F8A,0.076,0.714
734,  COF2T3A,0.697,0.211
735,  COF2T4A,1.053,0.393
736,  COF2T5A,-0.351,0.043
737,  COF2T6A,-0.503,0.042
738,  COF2FzA,0.090,0.725
739,  COF2CzA,0.603,0.524
740,  COF2PzA,0.854,0.196
741,  COF3F4A,1.149,0.807
742,  COF3C3A,1.124,0.785
743,  COF3C4A,1.467,0.644
744,  COF3P3A,1.304,0.412
745,  COF3P4A,1.594,0.331
746,  COF3O1A,-0.336,0.034
747,  COF3O2A,-0.644,0.037
748,  COF3F7A,0.372,0.768
749,  COF3F8A,0.748,0.541
750,  COF3T3A,0.796,0.486
751,  COF3T4A,1.427,0.404
752,  COF3T5A,0.938,0.153
753,  COF3T6A,0.016,0.083
754,  COF3FzA,0.362,0.884
755,  COF3CzA,0.904,0.762
756,  COF3PzA,0.891,0.348
757,  COF4C3A,1.523,0.661
758,  COF4C4A,1.384,0.794
759,  COF4P3A,1.418,0.318
760,  COF4P4A,1.456,0.341
761,  COF4O1A,-1.176,0.013
762,  COF4O2A,-1.059,0.016
763,  COF4F7A,0.747,0.545
764,  COF4F8A,0.110,0.725
765,  COF4T3A,0.996,0.303
766,  COF4T4A,1.240,0.549
767,  COF4T5A,0.207,0.081
768,  COF4T6A,0.462,0.114
769,  COF4FzA,1.323,0.941
770,  COF4CzA,1.134,0.765
771,  COF4PzA,0.763,0.287
772,  COC3C4A,1.809,0.696
773,  COC3P3A,1.434,0.740
